﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3husjxyCMBvNeiTEcrpPSe","Unfaithful","Rihanna","A Girl Like Me","1","3","224629","spotify:user:tn.leprechaun","2013-04-26T20:18:08Z"
"spotify:track:0Ri6sPso4CNTnHn7RroCt4","Beautiful","Christina Aguilera","Christina Aguilera/Stripped","2","11","238560","spotify:user:tn.leprechaun","2013-04-26T20:18:38Z"
"spotify:track:1BiuYVFgc2TXoeXCjO1hND","Family Portrait","P!nk","Greatest Hits...So Far!!!","1","6","295146","spotify:user:tn.leprechaun","2013-04-26T20:26:38Z"
"spotify:track:7uz2Rk1sow6wLj3PCXfDeb","Just Like a Pill","P!nk","Greatest Hits...So Far!!!","1","5","237480","spotify:user:tn.leprechaun","2013-04-26T20:27:24Z"
"spotify:track:4Aj0n50quHNeRhPKD0pwRM","When You're Gone","Avril Lavigne","The Best Damn Thing","1","5","240493","spotify:user:tn.leprechaun","2013-04-26T20:37:58Z"
"spotify:track:2jHujamO9UuZv8im9eLdOB","I'm with You","Avril Lavigne","Under My Skin/Let Go","2","4","223066","spotify:user:tn.leprechaun","2013-04-26T20:39:05Z"
"spotify:track:3PHYPaguCDKLK1a9cp3uXZ","Because of You","Kelly Clarkson","Breakaway","1","4","218964","spotify:user:tn.leprechaun","2013-04-26T20:50:15Z"
"spotify:track:0TuTx2Gwtfrt769k4sJRgh","If I Were a Boy","Beyoncé","If I Were A Boy","1","1","249146","spotify:user:tn.leprechaun","2013-04-26T20:51:33Z"
"spotify:track:4CDIEKHMb2MBgvgHBkhiJD","When I'm Gone","Eminem","When I'm Gone","1","1","281320","spotify:user:tn.leprechaun","2013-04-26T20:55:26Z"
"spotify:track:2DmziJbL8yx0s4dCutrwTf","Stan","Eminem, Dido","The Marshall Mathers LP (Explicit Version)","1","3","404106","spotify:user:tn.leprechaun","2013-04-26T20:55:30Z"
"spotify:track:17baAghWcrewNOcc9dCewx","Mockingbird","Eminem","Curtain Call (Deluxe)","1","12","251266","spotify:user:tn.leprechaun","2013-04-26T20:56:35Z"
"spotify:track:0MsrWnxQZxPAcov7c74sSo","Holiday / Boulevard of Broken Dreams","Green Day","American Idiot","1","3","493400","spotify:user:tn.leprechaun","2013-04-26T21:02:48Z"
"spotify:track:0UrWr7Jnu1heq1o99ZwUd0","Youth of the Nation","P.O.D.","Satellite (U.S. Version WEA Distribution)","1","4","256240","spotify:user:tn.leprechaun","2013-04-28T00:00:19Z"
"spotify:track:1VMW5hTQQ0C0pt19cc6Vi7","Please Don't Leave Me","P!nk","Greatest Hits...So Far!!!","1","14","232400","spotify:user:tn.leprechaun","2013-05-06T17:22:51Z"
"spotify:track:2Oj1jTqPlHYjJavTkgkaCa","Sober","P!nk","Sober","1","1","251693","spotify:user:tn.leprechaun","2013-05-06T17:36:09Z"
"spotify:track:0aWVhnjyPm8xxBqNBCsHHw","Don't Let Me Get Me - Radio Edit","P!nk","Greatest Hits...So Far!!!","1","4","211480","spotify:user:tn.leprechaun","2013-05-25T17:51:43Z"
"spotify:track:5uA4ZpS2DTLwbHpKHlsSqd","My Happy Ending","Avril Lavigne","Under My Skin","1","6","242413","spotify:user:tn.leprechaun","2013-08-05T10:04:48Z"
"spotify:track:5o4cq6gKFAbR1V7wITwB7n","Complicated","Avril Lavigne","Under My Skin/Let Go","2","2","244506","spotify:user:tn.leprechaun","2013-08-05T10:04:53Z"
"spotify:track:0AH6WMe3OlAlUb5miXt2FQ","Only Girl (In The World)","Rihanna","Loud","1","5","235493","spotify:user:tn.leprechaun","2013-09-24T08:48:21Z"
"spotify:track:6M6lsQB4OhqL41eld29PeC","Love The Way You Lie (Part II) - Pt. 2","Rihanna, Eminem","Loud","1","11","296226","spotify:user:tn.leprechaun","2013-09-24T08:48:58Z"
"spotify:track:0rEFKRplA9311zqE3aYC7y","Funhouse","P!nk","Funhouse","1","1","204626","spotify:user:tn.leprechaun","2013-10-28T19:04:10Z"
